strain_branch,strain_percent,source_directory,plane,series_group,method,phi_deg,sigma_xy_s_cm,sigma_yz_s_cm,sigma_zx_s_cm,sigma_para_s_cm,sigma_perp_s_cm,sigma_axis_s_cm
compressive,-0.6,m0.6percent,103,strain,Wan90,105.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,Wan90,120.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,Wan90,135.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,Wan90,150.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,Wan90,165.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,Wan90,180.0,nan,nan,nan,nan,nan,nan
compressive,-0.6,m0.6percent,103,strain,SW+ED,0.0,-0.1229367,0.1023511,729.0001,-729.0001,0.1359747771,-0.0842617343
compressive,-0.6,m0.6percent,103,strain,SW+ED,15.0,117.3581,-218.4612,723.3482,-761.9463460183,-48.8196448628,42.2521721236
compressive,-0.6,m0.6percent,103,strain,SW+ED,30.0,201.9852,-392.8982,668.3001,-797.069508321,-43.9646855759,67.3746656354
compressive,-0.6,m0.6percent,103,strain,SW+ED,45.0,287.9659,-559.8099,559.4427,-835.5087568787,-44.3373031681,96.161005667
compressive,-0.6,m0.6percent,103,strain,SW+ED,60.0,313.287,-660.6403,423.4797,-840.308420497,3.8399448064,88.2973381867
compressive,-0.6,m0.6percent,103,strain,SW+ED,75.0,282.4361,-712.7084,242.4302,-802.112213562,36.056891609,42.5642256831
compressive,-0.6,m0.6percent,103,strain,SW+ED,90.0,287.0405,-724.0791,2.351414,-777.6919247088,2.351414,43.3366120016
compressive,-0.6,m0.6percent,103,strain,SW+ED,105.0,287.2277,-715.1481,-238.7353,-804.8551474655,-31.4966827256,46.3384356933
compressive,-0.6,m0.6percent,103,strain,SW+ED,120.0,316.5529,-660.4566,-426.4936,-842.5588490966,-6.0208112013,91.4537340104
compressive,-0.6,m0.6percent,103,strain,SW+ED,135.0,292.8461,-559.9349,-560.491,-837.425115361,44.7711415729,100.7512414274
compressive,-0.6,m0.6percent,103,strain,SW+ED,150.0,202.8008,-394.0807,-668.7166,-798.1200745846,44.9513197212,67.7744723999
compressive,-0.6,m0.6percent,103,strain,SW+ED,165.0,115.522,-219.4385,-721.51,-760.2604677574,49.6301209535,40.2012453243
compressive,-0.6,m0.6percent,103,strain,SW+ED,180.0,0.1229368,-0.1023508,-729.0001,-729.0001,0.1359745241,0.084261924
compressive,-0.6,m0.6percent,103,strain,SW+PD,0.0,nan,nan,nan,nan,nan,nan
