cutoff_shell,series,curve_index,point_index,k_path_fraction,energy_ev,source_pdf
1,DFT,2,65,0.63100145,-2.68080000,band_1.pdf
1,DFT,2,66,0.63796368,-2.73379999,band_1.pdf
1,DFT,2,67,0.65188816,-2.85999997,band_1.pdf
1,DFT,2,68,0.67277487,-3.07770000,band_1.pdf
1,DFT,2,69,0.68669934,-3.22179999,band_1.pdf
1,DFT,2,70,0.70062382,-3.34899996,band_1.pdf
1,DFT,2,71,0.70758605,-3.40239999,band_1.pdf
1,DFT,2,72,0.71454829,-3.44739996,band_1.pdf
1,DFT,2,73,0.72151053,-3.48159998,band_1.pdf
1,DFT,2,74,0.72847276,-3.50889997,band_1.pdf
1,DFT,2,75,0.73543500,-3.46079996,band_1.pdf
1,DFT,2,76,0.74239724,-3.33449997,band_1.pdf
1,DFT,2,77,0.74935947,-3.24710000,band_1.pdf
1,DFT,2,78,0.75632171,-3.19779999,band_1.pdf
1,DFT,2,79,0.76328395,-3.18319998,band_1.pdf
1,DFT,2,80,0.77024618,-3.19900000,band_1.pdf
1,DFT,2,81,0.77720842,-3.24019998,band_1.pdf
1,DFT,2,82,0.79113290,-3.36759998,band_1.pdf
1,DFT,2,83,0.82594408,-3.18209999,band_1.pdf
1,DFT,2,84,0.83290632,-3.16320000,band_1.pdf
1,DFT,2,85,0.83986855,-3.15619997,band_1.pdf
1,DFT,2,86,0.84683079,-3.16330001,band_1.pdf
1,DFT,2,87,0.85379303,-3.18589997,band_1.pdf
1,DFT,2,88,0.86075526,-3.22489996,band_1.pdf
1,DFT,2,89,0.86771750,-3.28029997,band_1.pdf
1,DFT,2,90,0.87467974,-3.35110001,band_1.pdf
1,DFT,2,91,0.88164197,-3.43540000,band_1.pdf
1,DFT,2,92,0.88860421,-3.37709998,band_1.pdf
1,DFT,2,93,0.89556645,-3.20389999,band_1.pdf
1,DFT,2,94,0.90252868,-3.00659999,band_1.pdf
1,DFT,2,95,0.90949092,-2.78829996,band_1.pdf
1,DFT,2,96,0.92341540,-2.31200001,band_1.pdf
1,DFT,2,97,0.93037763,-2.37199997,band_1.pdf
1,DFT,2,98,0.94430211,-2.57020001,band_1.pdf
1,DFT,2,99,0.95126434,-2.66080001,band_1.pdf
1,DFT,2,100,0.95822658,-2.74290000,band_1.pdf
1,DFT,2,101,0.96518881,-2.81519996,band_1.pdf
1,DFT,2,102,0.97215105,-2.87609996,band_1.pdf
1,DFT,2,103,0.97911329,-2.92460001,band_1.pdf
1,DFT,2,104,0.98607553,-2.95980000,band_1.pdf
1,DFT,2,105,0.99303776,-2.98119996,band_1.pdf
1,DFT,2,106,1.00000000,-2.98830000,band_1.pdf
1,DFT,3,0,0.00000000,-2.50489996,band_1.pdf
1,DFT,3,1,0.04018603,-2.50189999,band_1.pdf
1,DFT,3,2,0.05628272,-2.48549997,band_1.pdf
1,DFT,3,3,0.06430322,-2.46859996,band_1.pdf
1,DFT,3,4,0.07235157,-2.44429999,band_1.pdf
1,DFT,3,5,0.08039991,-2.41140000,band_1.pdf
1,DFT,3,6,0.08842041,-2.36850001,band_1.pdf
1,DFT,3,7,0.09646875,-2.31439997,band_1.pdf
1,DFT,3,8,0.10451710,-2.24820000,band_1.pdf
1,DFT,3,9,0.11253760,-2.16899996,band_1.pdf
1,DFT,3,10,0.12058594,-2.07649999,band_1.pdf
1,DFT,3,11,0.12863429,-1.97050001,band_1.pdf
1,DFT,3,12,0.13665478,-1.85149996,band_1.pdf
1,DFT,3,13,0.14470313,-1.72129996,band_1.pdf
1,DFT,3,14,0.15275148,-1.71809998,band_1.pdf
1,DFT,3,15,0.16882032,-2.11049998,band_1.pdf
1,DFT,3,16,0.17686866,-2.28649997,band_1.pdf
1,DFT,3,17,0.18491701,-2.44550000,band_1.pdf
1,DFT,3,18,0.19293751,-2.58599996,band_1.pdf
1,DFT,3,19,0.20098585,-2.70689998,band_1.pdf
1,DFT,3,20,0.20903420,-2.80709999,band_1.pdf
1,DFT,3,21,0.21705470,-2.88589999,band_1.pdf
1,DFT,3,22,0.22510304,-2.94259996,band_1.pdf
1,DFT,3,23,0.23315139,-2.97669996,band_1.pdf
1,DFT,3,24,0.24117188,-2.98770000,band_1.pdf
1,DFT,3,25,0.24685307,-2.98309999,band_1.pdf
1,DFT,3,26,0.25256210,-2.96749999,band_1.pdf
1,DFT,3,27,0.25824329,-2.94199995,band_1.pdf
1,DFT,3,28,0.26392447,-2.90720000,band_1.pdf
1,DFT,3,29,0.27528684,-2.81440000,band_1.pdf
1,DFT,3,30,0.28664922,-2.70160001,band_1.pdf
1,DFT,3,31,0.29233040,-2.63679995,band_1.pdf
1,DFT,3,32,0.29801159,-2.55439999,band_1.pdf
1,DFT,3,33,0.30372062,-2.46309997,band_1.pdf
1,DFT,3,34,0.31508299,-2.25430000,band_1.pdf
1,DFT,3,35,0.32076417,-2.13760001,band_1.pdf
1,DFT,3,36,0.32644536,-2.13030001,band_1.pdf
1,DFT,3,37,0.33780773,-2.44849996,band_1.pdf
1,DFT,3,38,0.34919795,-2.73780000,band_1.pdf
1,DFT,3,39,0.35487914,-2.86879996,band_1.pdf
1,DFT,3,40,0.36056032,-2.75109998,band_1.pdf
1,DFT,3,41,0.37192269,-2.34459997,band_1.pdf
1,DFT,3,42,0.38896625,-1.70990000,band_1.pdf
1,DFT,3,43,0.39467528,-1.57300001,band_1.pdf
1,DFT,3,44,0.40603765,-1.61789997,band_1.pdf
1,DFT,3,45,0.41171884,-1.62479999,band_1.pdf
1,DFT,3,46,0.42308121,-1.61289997,band_1.pdf
1,DFT,3,47,0.43444358,-1.57829998,band_1.pdf
1,DFT,3,48,0.44583380,-1.52890001,band_1.pdf
1,DFT,3,49,0.45151498,-1.55219999,band_1.pdf
1,DFT,3,50,0.45719617,-1.73740001,band_1.pdf
1,DFT,3,51,0.46287735,-1.95889997,band_1.pdf
1,DFT,3,52,0.46855854,-2.16160001,band_1.pdf
1,DFT,3,53,0.47423972,-2.32810000,band_1.pdf
1,DFT,3,54,0.47992091,-2.45400001,band_1.pdf
1,DFT,3,55,0.48562994,-2.54089998,band_1.pdf
1,DFT,3,56,0.49131113,-2.59399998,band_1.pdf
1,DFT,3,57,0.49699231,-2.62039999,band_1.pdf
1,DFT,3,58,0.50267350,-2.62709999,band_1.pdf
1,DFT,3,59,0.50835468,-2.62039999,band_1.pdf
1,DFT,3,60,0.51971705,-2.58729998,band_1.pdf
1,DFT,3,61,0.53678846,-2.53649999,band_1.pdf
1,DFT,3,62,0.54815083,-2.51699999,band_1.pdf
1,DFT,3,63,0.56519439,-2.50629999,band_1.pdf
1,DFT,3,64,0.59619027,-2.50559997,band_1.pdf
1,DFT,3,65,0.60315250,-2.51899997,band_1.pdf
1,DFT,3,66,0.61011474,-2.54199998,band_1.pdf
1,DFT,3,67,0.61707697,-2.57369996,band_1.pdf
1,DFT,3,68,0.62403921,-2.61380001,band_1.pdf
1,DFT,3,69,0.63100145,-2.66229999,band_1.pdf
1,DFT,3,70,0.64492592,-2.78210001,band_1.pdf
1,DFT,3,71,0.65885040,-2.92439999,band_1.pdf
1,DFT,3,72,0.68669934,-3.22069999,band_1.pdf
1,DFT,3,73,0.70062382,-3.34669996,band_1.pdf
1,DFT,3,74,0.70758605,-3.39979996,band_1.pdf
1,DFT,3,75,0.71454829,-3.44500001,band_1.pdf
1,DFT,3,76,0.72151053,-3.16699999,band_1.pdf
1,DFT,3,77,0.72847276,-2.85199995,band_1.pdf
1,DFT,3,78,0.73543500,-2.57089996,band_1.pdf
1,DFT,3,79,0.74239724,-2.32949997,band_1.pdf
1,DFT,3,80,0.74935947,-2.13250000,band_1.pdf
1,DFT,3,81,0.75632171,-1.98210000,band_1.pdf
1,DFT,3,82,0.76328395,-1.88619997,band_1.pdf
1,DFT,3,83,0.77024618,-1.88479999,band_1.pdf
1,DFT,3,84,0.78417066,-1.86229998,band_1.pdf
1,DFT,3,85,0.79113290,-1.84420002,band_1.pdf
1,DFT,3,86,0.79809513,-1.89359998,band_1.pdf
1,DFT,3,87,0.82594408,-2.14210001,band_1.pdf
1,DFT,3,88,0.83290632,-2.18209999,band_1.pdf
1,DFT,3,89,0.83986855,-2.20329998,band_1.pdf
1,DFT,3,90,0.84683079,-2.20209997,band_1.pdf
1,DFT,3,91,0.85379303,-2.17569996,band_1.pdf
1,DFT,3,92,0.86075526,-2.12200002,band_1.pdf
1,DFT,3,93,0.86771750,-2.03939997,band_1.pdf
1,DFT,3,94,0.87467974,-1.92719999,band_1.pdf
1,DFT,3,95,0.88164197,-1.78629998,band_1.pdf
1,DFT,3,96,0.88860421,-1.81440000,band_1.pdf
1,DFT,3,97,0.89556645,-1.88789997,band_1.pdf
1,DFT,3,98,0.90252868,-1.97260000,band_1.pdf
1,DFT,3,99,0.91645316,-2.16529998,band_1.pdf
